product	oursAMD	siteHigh	siteLow	url
ASUS VA249HG	55900	55900	53110	https://eldorado.am/en/monitor-asus-va249hg-90lm02w0-b01171
ASUS VA27DQSB-W	119900	119900	113910	https://eldorado.am/en/asus-va27dqsb-w-90lm06h4-b02370
ASUS VG249Q3A 90LM09B0-B01170	99000	99000	94050	https://eldorado.am/en/asus-vg249q3a-90lm09b0-b01170
Beats Solo Buds True Wireless	35900	115900	89900	https://eldorado.am/en/beats-fit-pro-true-wireless-earbuds-a2577-a2576-a257-white
Dyson Zone Absolute+	349900	349900	199900	https://eldorado.am/en/dyson-zone-absolute-headphones-with-air-purification-prussian-blue-bright-copper
Honor Choice Clip MAK-ME01	25900	25900	23310	https://eldorado.am/en/honor-choice-earbuds-clip-mak-me01-5504admr-purple
Lenovo IdeaCentre AIO 23. 8" 24IRH 9	429900	499900	475900	https://eldorado.am/en/lenovo-ideacentre-aio-23-8-24irh-9-f0hn00rwru
LG 75QNED86A6A	1079900	1199000		https://eldorado.am/en/smart-tv-lg-75qned86a6a
LG OLED83C4RLA	2549900	3299000		https://eldorado.am/en/lg-oled83c4rla
Nothing Ear Open B182	89900	89900	69900	https://eldorado.am/en/nothing-ear-open-b182-white
Samsung EO-IC100, USB Type-C	9900	9900	6900	https://eldorado.am/en/samsung-eo-ic100-usb-type-c-white
Samsung QE43Q60BA	199900	199900	179900	https://eldorado.am/en/samsung-43-qe43q60ba-4k-uhd-smart-qled
Samsung QE55Q60ABUXRU	479900	479900	429900	https://eldorado.am/en/samsung-qe55q60abuxru
Samsung QE75QN90CAUXRU	1184900	1184900	999900	https://eldorado.am/en/samsung-qe75qn90cauxru-75-neo-qled-4k
Samsung QE77S95FAUXRU	1710000	2429900		https://eldorado.am/en/smart-tv-samsung-qe77s95fauxru
Samsung QE85Q60DAUXRU	1319000	1319000	999900	https://eldorado.am/en/samsung-qe85q60dauxru
Samsung UE55DU8000UXRU	359000	359000	279900	https://eldorado.am/en/samsung-ue55du8000uxru
Sennheiser Accentum ACAEBT	89900	89900	75900	https://eldorado.am/en/sennheiser-accentum-wireless-acaebt-white
Sennheiser Accentum Plus	119900	119900	99900	https://eldorado.am/en/sennheiser-accentum-plus-wireless-acpaebt-white
Sennheiser Accentum True Special Edition ATW1 SE	99900	99900	85900	https://eldorado.am/en/sennheiser-accentum-true-wireless-special-edition-atw1-blue-se
Sennheiser Accentum True Wireless ATW1	99900	99900	85900	https://eldorado.am/en/sennheiser-accentum-true-wireless-atw1-black
Sennheiser Accentum Wireless ACAEBT	89900	89900	75900	https://eldorado.am/en/sennheiser-accentum-wireless-acaebt-white
Sennheiser HD 450BT	69900	69900	57900	https://eldorado.am/en/sennheiser-hd-450bt-black
Sennheiser HD 599	95900	95900	75900	https://eldorado.am/en/sennheiser-hd-599
Sennheiser HD 620S	159900	159900	129900	https://eldorado.am/en/sennheiser-hd-620s
Sennheiser Momentum M4AEBT	169900	169900	135900	https://eldorado.am/en/sennheiser-momentum-wireless-m4aebt-black
Sennheiser Momentum Sport MSPORT1	159900	159900	129900	https://eldorado.am/en/sennheiser-momentum-sport-with-adaptive-anc-and-transparency-mode-msport1-olive
Sennheiser RS 195	159900	159900	129900	https://eldorado.am/en/sennheiser-rs-195-black
Sony WF-C500 True Wireless	37900	37900	29900	https://eldorado.am/en/sony-wf-c500-orange-yy2952
Sony WHULT900N	89900	89900	69900	https://eldorado.am/en/sony-whult900n-white
Xiaomi Redmi Buds 8 Active	10900	10900	8900	https://eldorado.am/en/redmi-buds-8-active-white-m2537e1-bhr08jugl
