id,product,shop,shopTitle,storage,color,esim,price,seen,url
-,DJI Mic,pixel,DJI MIC Transmitter Wireless Microphone,,,,,,https://www.pixel.am/am/product/dji-mic-transmitter-wireless=microphone
-,-,redstore,DJI Mic Mini Transmitter,,,,,2026-09-19,https://redstore.am/en/product/dji-mic-mini-transmitter
acer-anv15-52-92dd,Acer ANV15-52-92DD,redstore,Acer ANV15-52-92DD,512,,,619000,2026-09-20,https://redstore.am/en/product/acer-anv15-52-92dd
acer-anv15-52-99cv,Acer ANV15-52-99CV,redstore,Acer ANV15-52-99CV,512,,,659000,2026-09-20,https://redstore.am/en/product/acer-anv15-52-99cv
acer-aspire-14-ai-a14-52mt-59dp,Acer Aspire 14 AI A14-52MT-59DP,redstore,Acer Aspire 14 AI A14-52MT-59DP,1024,,,359000,2026-09-20,https://redstore.am/en/product/acer-aspire-14-ai-a14-52mt-59dp
acer-aspire-14-ai-a14-52mt-701k,Acer Aspire 14 AI A14-52MT-701K,redstore,Acer Aspire 14 AI A14-52MT-701K,1024,,,499000,2026-09-20,https://redstore.am/en/product/acer-aspire-14-ai-a14-52mt-701k
acer-aspire-15,Acer Aspire AL15-72P,redstore,Acer Aspire AL15-72P-58X5,512,Steel Gray,,259000,2026-09-20,https://redstore.am/en/product/acer-aspire-al15-72p-58x5
acer-aspire-15,Acer Aspire AL15-72P,vlv,ACER ASPIRE AL15-72P-57CM i5-13420H 16/512 15.6" NX.D5HEM.002,512,Steel Gray,,289900,2026-09-20,https://vlv.am/en/Product/44252
acer-aspire-3-a325-45,Acer Aspire 3 A325-45,redstore,Acer Aspire 3 A325-45,512,,,229000,2026-09-20,https://redstore.am/en/product/acer-aspire-3-a325-45
acer-aspire-a16-51gm-71yf,Acer Aspire A16-51GM-71YF,ibolit,Acer Aspire A16-51GM-71YF,,,,413000,2026-09-20,https://ibolit.mobi/product/acer-aspire-a16-51gm-71yf/
acer-aspire-a16-51gm-71yf,Acer Aspire A16-51GM-71YF,ibolit,ACER ASPIRE A16-51GM-71YF  (CORE I7 RAM -16 SSD-1TB),1024,,,433000,2026-09-20,https://ibolit.mobi/product/acer-aspire-a16-51gm-71yf-2/
acer-aspire-a514-56m-770k,Acer Aspire A514-56M-770K,ibolit,Acer Aspire A514 56M 770K,,,,,,https://ibolit.mobi/product/acer-aspire-a514-56m-770k/
acer-aspire-a514-56m-770k,Acer Aspire A514-56M-770K,ibolit,Acer Aspire A514-56M-770K,,,,322000,2026-09-20,https://ibolit.mobi/product/acer-aspire-a514-56m-770k-2/
acer-aspire-al15-52,Acer Aspire AL15-52,ibolit,Acer Aspire AL15-52,,,,214000,2026-09-20,https://ibolit.mobi/product/acer-aspire-al15-52/
acer-aspire-go-15-ag15-32p-39r2,Acer Aspire GO 15 AG15-32P-39R2,redstore,Acer Aspire GO 15 AG15-32P-39R2,128,,,179000,2026-09-20,https://redstore.am/en/product/acer-aspire-go-15-ag15-32p-39r2
acer-aspire-go-15-ag15-51p-510u,Acer Aspire GO 15 AG15-51P-510U,redstore,Acer Aspire GO 15 AG15-51P-510U,256,,,249000,2026-09-20,https://redstore.am/en/product/acer-aspire-go-15-ag15-51p-510u
acer-aspire-go-16-ag16-71p-97w3,Acer Aspire Go 16 AG16-71P-97W3,redstore,Acer Aspire Go 16 AG16-71P-97W3,512,,,399000,2026-09-20,https://redstore.am/en/product/acer-aspire-go-16-ag16-71p-97w3
acer-aspire-lite-al15-31p-c2z1,Acer Aspire Lite AL15-31P-C2Z1,redstore,Acer Aspire Lite AL15-31P-C2Z1,128,,,149000,2026-09-20,https://redstore.am/en/product/acer-aspire-lite-al15-31p-c2z1
acer-aspire-lite-al15-36p-32xp,Acer Aspire Lite AL15-36P-32XP,telecom,Նոթբուք Acer Aspire Lite AL15-36P-32XP,,,,199900,,https://www.telecomarmenia.am/eshop/hy/devices/notebook-acer-aspire-lite-al1536p32xp-light-silver/2708/
acer-aspire-lite-al16-52p-32e3,Acer Aspire Lite AL16-52P-32E3,ibolit,Acer Aspire Lite AL16-52P-32E3,,,,192000,2026-09-20,https://ibolit.mobi/product/acer-aspire-lite-al16-52p-32e3/
acer-aspire-lite-al16-52p-59qu,Acer Aspire Lite AL16-52P-59QU,ibolit,Acer Aspire Lite AL16-52P-59QU,,,,251000,2026-09-20,https://ibolit.mobi/product/acer-aspire-lite-al16-52p-59qu/
acer-aspire-lite-al16-54p-37j9,Acer Aspire Lite AL16-54P-37J9,redstore,Acer Aspire Lite AL16-54P-37J9,256,,,199000,2026-09-20,https://redstore.am/en/product/acer-aspire-lite-al16-54p-37j9
acer-aspire-lite-al16-54p-50tq,Acer Aspire Lite AL16-54P-50TQ,redstore,Acer Aspire Lite AL16-54P-50TQ,512,,,269000,2026-09-20,https://redstore.am/en/product/acer-aspire-lite-al16-54p-50tq
acer-aspire-lite-all15-36p-c0m7-n150-nx-de1aa-001,Acer Aspire Lite AL15-36P,eldorado,Նոթբուք Acer Aspire Lite AlL15-36P-C0M7 N150  NX.DE1AA.001 Light Silver,,,,149900,,https://eldorado.am/en/acer-aspire-lite-all15-36p-c0m7-n150-nx-de1aa-001-light-silver
acer-aspire-vero-16-av16-51p-58ku,Acer Aspire Vero 16 AV16-51P-58KU,redstore,Acer Aspire Vero 16 AV16-51P-58KU,512,,,269000,2026-09-20,https://redstore.am/en/product/acer-aspire-vero-16-av16-51p-58ku
acer-nitro-5-an515-45-r7sl,Acer Nitro 5 AN515-45-R7SL,ibolit,Acer Nitro 5 AN515-45-R7SL,,,,628000,2026-09-20,https://ibolit.mobi/product/acer-nitro-5-an515-45-r7sl-2/
acer-nitro-5-anv15-51-93hs,Acer Nitro 5 ANV15-51-93HS,ibolit,Acer Nitro 5 ANV15-51-93HS,,,,558000,2026-09-20,https://ibolit.mobi/product/acer-nitro-5-anv15-51-93hs/
acer-nitro-anv15-51-76er,Acer Nitro ANV15-51-76ER,redstore,Acer Nitro ANV15-51-76ER,512,,,459000,2026-09-20,https://redstore.am/en/product/acer-nitro-anv15-51-76er
acer-nitro-anv16-71-760q,Acer Nitro ANV16-71-760Q,redstore,Acer Nitro ANV16-71-760Q,512,,,489000,2026-09-20,https://redstore.am/en/product/acer-nitro-anv16-71-760q
acer-nitro-v15-anv15-51-789j,Acer Nitro V15 ANV15-51-789J,ibolit,Acer Nitro V15 ANV15-51-789J,,,,503000,2026-09-20,https://ibolit.mobi/product/acer-nitro-v15-anv15-51-789j/
acer-nitro-v15-anv15-52-57bb,Acer Nitro V15 ANV15-52-57BB,redstore,Acer Nitro V15 ANV15-52-57BB,512,,,459000,2026-09-20,https://redstore.am/en/product/acer-nitro-v15-anv15-52-57bb
acer-nitro-v15-anv15-52-90gc,Acer Nitro V15 ANV15-52-90GC,redstore,Acer Nitro V15 ANV15-52-90GC,1024,,,659000,2026-09-20,https://redstore.am/en/product/acer-nitro-v15-anv15-52-90gc
acer-nitro-v15-anv15-52-9161,Acer Nitro V15 ANV15-52-9161,redstore,Acer Nitro V15 ANV15-52-9161,1024,,,669000,2026-09-20,https://redstore.am/en/product/acer-nitro-v15-anv15-52-9161
acer-nitro-v16-anv16-71-70f7,Acer Nitro V16 ANV16-71-70F7,ibolit,Acer Nitro V16 ANV16-71-70F7,,,,623000,2026-09-20,https://ibolit.mobi/product/acer-nitro-v16-anv16-71-70f7/
acer-predator-helios-neo-14-phn14-51-79ub,Acer Predator Helios Neo 14 PHN14-51-79UB,ibolit,Acer Predator Helios Neo 14 PHN14-51-79UB,,,,688000,2026-09-20,https://ibolit.mobi/product/acer-predator-helios-neo-14-phn14-51-79ub/
acer-predator-helios-neo-16s-71-91aw,Acer Predator Helios Neo 16S-71-91AW,redstore,Acer Predator Helios Neo 16S-71-91AW,1024,,,749000,2026-09-20,https://redstore.am/en/product/acer-predator-helios-neo-16s-71-91aw
acer-predator-helios-neo-phn14-51-90n4,Acer Predator Helios Neo PHN14-51-90N4,redstore,Acer Predator Helios Neo PHN14-51-90N4,1024,,,799000,2026-09-20,https://redstore.am/en/product/acer-predator-helios-neo-phn14-51-90n4
acer-predator-helios-neo-phn16-73-94zr,Acer Predator Helios Neo PHN16-73-94ZR,redstore,Acer Predator Helios Neo PHN16-73-94ZR,1024,,,899000,2026-09-20,https://redstore.am/en/product/acer-predator-helios-neo-phn16-73-94zr
acer-predator-helios-neo-phn16-73-97bp,Acer Predator Helios Neo PHN16-73-97BP,redstore,Acer Predator Helios Neo PHN16-73-97BP,1024,,,859000,2026-09-20,https://redstore.am/en/product/acer-predator-helios-neo-phn16-73-97bp
acer-predator-triton-300-pt-315-53-75-xx,Acer Predator Triton 300 PT 315-53-75 XX,ibolit,Acer Predator Triton 300 PT 315-53-75 XX,,,,588000,2026-09-20,https://ibolit.mobi/product/acer-predator-triton-300-pt-315-53-75-xx/
acer-swift-3-sf314-59-75qc,Acer Swift 3 SF314 59 75QC,allsell,Acer Swift 3 SF314-59-75QC,,,,269000,2026-09-20,https://allsell.am/en/acer-swift-3-sf314-59-75qc
