what,id,brand,name,category,shops,width
missing,honor-choice-ros-me01,Honor,CHOICE ROS-ME01,headphones,2,
missing,apple-homepod-mini-mj2e3ll-a,Apple,HomePod Mini /MJ2E3LL/A*,speaker,1,
missing,apple-ipad-pro-12-9-m2-cell-spacegray-mp5x3,Apple,iPad Pro 12.9 M2 Cell SpaceGray/MP5X3*,tablet,1,
missing,asus-fx607v,ASUS,FX607V,laptop,1,
missing,hisense-32a4n,Hisense,32A4N,tv,1,
missing,hisense-40a4n,Hisense,40A4N,tv,1,
missing,hisense-43a7kq,Hisense,43A7KQ,tv,1,
missing,hisense-50a7nq,Hisense,50A7NQ,tv,1,
missing,hisense-65a7nq,Hisense,65A7NQ,tv,1,
missing,hisense-65a85k,Hisense,65A85K,tv,1,
missing,hisense-65u7hq,Hisense,65U7HQ,tv,1,
missing,hisense-65uxkq,Hisense,65UXKQ,tv,1,
missing,hisense-85a6bg,Hisense,85A6BG,tv,1,
missing,honor-magicbook-x16-2026-16-wuxga-ssd1tb,Honor,MagicBook X16 2026 16" WUXGA /SSD1TB,laptop,1,
missing,hp-envy-hayden-22c1,HP,ENVY Hayden 22C1,laptop,1,
missing,lg-43nano766qa,LG,43NANO766QA,tv,1,
missing,lg-43uq81006lb,LG,43UQ81006LB,tv,1,
missing,lg-55nano766qa,LG,55NANO766QA,tv,1,
missing,lg-55nano816na,LG,55NANO816NA,tv,1,
missing,lg-55qned816ra,LG,55QNED816RA,tv,1,
missing,lg-55ur81006lj,LG,55UR81006LJ,tv,1,
missing,lg-65nano766qa,LG,65NANO766QA,tv,1,
missing,samsung-galaxy-watch4-40-mm,Samsung,Galaxy Watch4,watch,1,
missing,sony-wf-1000xm5-sce,Sony,WF-1000XM5/SCE,earbuds,1,
missing,toshiba-43c450ke,Toshiba,43C450KE,tv,1,
missing,toshiba-43c450me,Toshiba,43C450ME,tv,1,
missing,toshiba-50m550le,Toshiba,50M550LE,tv,1,
missing,toshiba-55c450me,Toshiba,55C450ME,tv,1,
missing,toshiba-65c450me,Toshiba,65C450ME,tv,1,
missing,toshiba-85m550le,Toshiba,85M550LE,tv,1,
missing,sony-wf-c510-l,Sony,WF-C510/L,earbuds,0,
too small,apple-iphone-16-plus,Apple,iPhone 16 Plus,phone,4,455
too small,xiaomi-redmi-14c,Xiaomi,Redmi 14C,phone,2,525
too small,apple-watch-series-10,Apple,Watch Series 10,watch,2,574
too small,apple-watch-series-12-gps-42mm,Apple,Watch Series 12 GPS,watch,2,491
too small,samsung-galaxy-a35,Samsung,Galaxy A35,phone,2,466
too small,xiaomi-smart-band-7,Xiaomi,Smart Band 7,watch,2,495
too small,asus-tuf-gaming-h1,ASUS,TUF Gaming H1,headphones,2,435
too small,bose-soundtouch-10,Bose,SoundTouch 10,speaker,1,485
too small,acer-aspire-a16-51gm-71yf,Acer,Aspire A16-51GM-71YF,laptop,1,459
too small,acer-aspire-a514-56m-770k,Acer,Aspire A514-56M-770K,laptop,1,459
too small,acer-aspire-lite-al16-52p-32e3,Acer,Aspire Lite AL16-52P-32E3,laptop,1,459
too small,acer-aspire-lite-al16-52p-59qu,Acer,Aspire Lite AL16-52P-59QU,laptop,1,459
too small,apple-macbook-air-13-mgnd3-m1-2020,Apple,MacBook Air 13 MGND3 M1 2020,laptop,1,482
too small,asus-v241eak-ba06,ASUS,V241EAK-BA06,desktop,1,295
too small,jbl-clip-4-squad,JBL,Clip 4 Squad,speaker,1,396
too small,sony-wf-c700n-wz-e,Sony,WF-C700N/WZ E,earbuds,1,487
too small,xiaomi-poco-m6-pro,Xiaomi,Poco M6 Pro,phone,1,494
