shop,brand,name,category,priceAmd,id,shopTitle
(none),Samsung,Galaxy A07s,phone,,samsung-galaxy-a07s,
(none),Samsung,Galaxy A08,phone,,samsung-galaxy-a08,
(none),Xiaomi,POCO M8 Pro 5G,phone,,xiaomi-poco-m8-pro-5g,
(none),Xiaomi,Redmi A7 Pro,phone,,xiaomi-redmi-a7-pro,
eldorado,AOC,"49"" LCD AG493UCX",monitor,469900,aoc-49-lcd-ag493ucx,"Խաղային մոնիտոր AOC 49"" LCD AG493UCX"
eldorado,ASUS,Expert Center P400 AiO P4 40VA,desktop,329900,asus-expert-center-p400-aio-p4-40va,Համակարգիչ բոլորը մեկում ASUS Expert Center P400 AiO P4 40VA (P440VAK-BPC 6670)
eldorado,ASUS,Expert Center P400 AiO P4 70VA,desktop,455900,asus-expert-center-p400-aio-p4-70va,Համակարգիչ բոլորը մեկում ASUS Expert Center P400 AiO P4 70VA (P470VAK-BPE2 820)
eldorado,ASUS,VA249HG,monitor,55900,asus-va249hg,Մոնիտոր ASUS VA249HG (90LM02W0-B01171)
eldorado,ASUS,VA27DQSB-W,monitor,119900,asus-va27dqsb-w,Մոնիտոր ASUS VA27DQSB-W (90LM06H4-B02370)
eldorado,ASUS,VG249Q3A 90LM09B0-B01170,monitor,99000,asus-vg249q3a-90lm09b0-b01170,Մոնիտոր Asus VG249Q3A 90LM09B0-B01170
eldorado,ASUS,VG279Q3A 90LM0990-B01170,monitor,109900,asus-vg279q3a-90lm0990-b01170,Asus VG279Q3A 90LM0990-B01170 Մոնիտոր
eldorado,ASUS,VG32AQA1A 90LM07L0-B02370,monitor,189900,asus-vg32aqa1a-90lm07l0-b02370,ASUS VG32AQA1A 90LM07L0-B02370 Մոնիտոր
eldorado,ASUS,VU279HFI-W,monitor,99900,asus-vu279hfi-w,Մոնիտոր ASUS VU279HFI-W (90LM09IT-B01K70)
eldorado,ASUS,VY249HF-W,monitor,59900,asus-vy249hf-w,Մոնիտոր Asus VY249HF-W (90LM06A4-B03A70)
eldorado,ASUS,VY279HF-W 90LM06D2-B02170,monitor,77900,asus-vy279hf-w-90lm06d2-b02170,ASUS VY279HF-W 90LM06D2-B02170 Մոնիտոր
eldorado,ASUS,VZ24EHF-W,monitor,59900,asus-vz24ehf-w,Մոնիտոր ASUS VZ24EHF-W (90LM07C2-B01470)
eldorado,ASUS,VZ27EHF 90LM07B0-B01470,monitor,69900,asus-vz27ehf-90lm07b0-b01470,ASUS VZ27EHF 90LM07B0-B01470 Մոնիտոր
eldorado,ASUS,VZ27EHF-W 90LM07B0-B02470,monitor,69900,asus-vz27ehf-w-90lm07b0-b02470,Մոնիտոր Asus VZ27EHF-W 90LM07B0-B02470
eldorado,Beats,Fit Pro,headphones,89900,beats-fit-pro,Beats Fit Pro (A2577 A2576 A257) անլար ականջակալ սպիտակ
eldorado,Beats,Flex All-Day,headphones,31900,beats-flex-all-day,Անլար ականջակալ Beats Flex All-Day (A2295)
eldorado,Beats,Solo True Wireless,headphones,35900,beats-solo-true-wireless,Ականջակալ Beats Solo Buds True Wireless (A3151 A3150 A3152)
eldorado,Beats,Solo4 OnEar,headphones,89900,beats-solo4-onear,Անլար ականջակալ Beats Solo4 OnEar (A3140)
eldorado,Beats,Studio,earbuds,67900,beats-studio,Beats Studio Buds Earbuds (A2512 A25 13 A2514) անլար ակաջակալ սպիտակ
eldorado,Beats,Studio Pro Wireless,headphones,139900,beats-studio-pro-wireless,Ականջակալ Beats Studio Pro Wireless (A2924)
eldorado,Beats,Studio Pro Wireless Model,headphones,139900,beats-studio-pro-wireless-model,Ականջակալ Beats Studio Pro Wireless Model (A2924)
eldorado,Bose,QuietComfort 45 Acoustic,headphones,126900,bose-quietcomfort-45-acoustic,Անլար ականջակալ Bose QuietComfort 45 Acoustic Black
eldorado,Bose,SoundSport Free,headphones,99900,bose-soundsport-free,Անլար Ականջակալ Bose SoundSport Free Black
eldorado,Bose,SoundSport Free Bright,headphones,99900,bose-soundsport-free-bright,Անլար Ականջակալ Bose SoundSport Free Bright Orange
eldorado,Dell,27'' E2723H,monitor,98900,dell-27-e2723h,Մոնիտոր Dell 27'' E2723H
eldorado,Dyson,Zone,headphones,319900,dyson-zone,Անլար ականջակալ օդի ֆիլտրով Dyson Zone (Ultra Blue/Prussian Blue)
eldorado,Dyson,Zone Absolute+,headphones,349900,dyson-zone-absoluteplus,Անլար ականջակալ օդի ֆիլտրով Dyson Zone Absolute+ (Prussian Blue/Bright Copper)
eldorado,Garmin,epix Pro – Sapphire Edition 51 mm,watch,345000,garmin-epix-pro-sapphire-edition-51-mm,Սմարթ ժամացույց Garmin epix Pro (Gen 2) – Sapphire Edition 51 mm
eldorado,Garmin,Venu 3 with Leather,watch,199000,garmin-venu-3-with-leather,Սմարթ ժամացույց Garmin Venu 3 Black Slate with Black Leather
eldorado,Garmin,vivoactive 5 Metallic orchid,watch,135000,garmin-vivoactive-5-metallic-orchid,Սմարթ ժամացույց Garmin vivoactive 5 Metallic orchid
eldorado,Honor,Choice Clip MAK-ME01,headphones,25900,honor-choice-clip-mak-me01,Անլար ականջակալ Honor Choice Earbuds Clip MAK-ME01 (5504ADMX) black
eldorado,Honor,CHOICE ROS-ME01,headphones,19900,honor-choice-ros-me01,Ականջակալ HONOR CHOICE ROS-ME01 Սև
eldorado,Honor,CHOICE X7 lite,headphones,8900,honor-choice-x7-lite,Անլար ականջակալ HONOR CHOICE Earbuds X7 lite
eldorado,HP,PC Maokong24I1C23,desktop,309900,hp-pc-maokong24i1c23,Համակարգիչ բոլորը մեկում HP All-in-One Desktop PC Maokong24I1C23
eldorado,Lenovo,"IdeaCentre AIO 23. 8"" 24IRH 9",desktop,429900,lenovo-ideacentre-aio-23-8-24irh-9,"Համակարգիչ բոլորը մեկում Lenovo IdeaCentre AIO 23. 8"" 24IRH 9 (F0HN00SSRU)"
eldorado,Lenovo,IdeaCentre AIO 24IRH9,desktop,389900,lenovo-ideacentre-aio-24irh9,Համակարգիչ Lenovo IdeaCentre AIO 24IRH9 (F0HN00KRRU)
eldorado,Lenovo,"IdeaCentre AIO 27IRH 9 27""",desktop,459900,lenovo-ideacentre-aio-27irh-9-27,"Համակարգիչ բոլորը մեկում Lenovo IdeaCentre AIO 27IRH 9 (F0HM00VKRU) 27"""
eldorado,LG,24G411A-B,monitor,69900,lg-24g411a-b,Մոնիտոր LG 24G411A-B
eldorado,LG,24GS50F-B,monitor,89900,lg-24gs50f-b,Մոնիտոր LG 24GS50F-B
eldorado,LG,24U411A-B,monitor,57900,lg-24u411a-b,Մոնիտոր LG 24U411A-B
eldorado,LG,27GS50F-B,monitor,91900,lg-27gs50f-b,Մոնիտոր LG 27GS50F-B
eldorado,LG,27SR50F-W,monitor,124900,lg-27sr50f-w,Մոնիտոր LG 27SR50F-W
eldorado,LG,27U421A-B,monitor,79900,lg-27u421a-b,Մոնիտոր LG 27U421A-B
eldorado,LG,27U511SA-W,monitor,129900,lg-27u511sa-w,Մոնիտոր LG 27U511SA-W
eldorado,LG,29U531A-W,monitor,119900,lg-29u531a-w,Մոնիտոր LG 29U531A-W
eldorado,LG,32SR50F-W,monitor,159900,lg-32sr50f-w,Մոնիտոր LG 32SR50F-W
eldorado,LG,32UR500K-B,monitor,168900,lg-32ur500k-b,Մոնիտոր LG 32UR500K-B
eldorado,LG,34GP63A-B,monitor,239900,lg-34gp63a-b,Խաղային մոնիտոր LG 34GP63A-B
eldorado,LG,43NANO80A6B,tv,219900,lg-43nano80a6b,Սմարթ հեռուստացույց LG 43NANO80A6B
eldorado,LG,43NU850B6LA,tv,178900,lg-43nu850b6la,Սմարթ հեռուստացույց LG 43NU850B6LA
eldorado,LG,43QNED70B6C,tv,215900,lg-43qned70b6c,Սմարթ հեռուստացույց LG 43QNED70B6C
eldorado,LG,43UA75009LA,tv,177900,lg-43ua75009la,Սմարթ հեռուստացույց LG (43UA75009LA)
eldorado,LG,50NU850B6LA,tv,247900,lg-50nu850b6la,Սմարթ հեռուստացույց LG 50NU850B6LA
eldorado,LG,50QNED70B6C,tv,278900,lg-50qned70b6c,Սմարթ հեռուստացույց LG 50QNED70B6C
eldorado,LG,50QNED80A6A,tv,289900,lg-50qned80a6a,Սմարթ հեռուստացույց LG 50QNED80A6A
eldorado,LG,55NU850B6LA,tv,287900,lg-55nu850b6la,Սմարթ հեռուստացույց LG 55NU850B6LA
eldorado,LG,55QNED70A6A,tv,298900,lg-55qned70a6a,Սմարթ հեռուստացույց LG 55QNED70A6A
eldorado,LG,55QNED80A6A,tv,359900,lg-55qned80a6a,Սմարթ հեռուստացույց LG 55QNED80A6A
eldorado,LG,55QNED80B6B,tv,372900,lg-55qned80b6b,Սմարթ հեռուստացույց LG 55QNED80B6B
eldorado,LG,55QNED80T6A,tv,449100,lg-55qned80t6a,Հեռուստացույց LG 55QNED80T6A Smart
eldorado,LG,55QNED82A6B,tv,399900,lg-55qned82a6b,Սմարթ հեռուստացույց LG 55QNED82A6B
eldorado,LG,55QNED86A6A,tv,566900,lg-55qned86a6a,Սմարթ հեռուստացույց LG 55QNED86A6A
eldorado,LG,55QNED86T6A,tv,429900,lg-55qned86t6a,Հեռուստացույց LG 55QNED86T6A Smart
eldorado,LG,65NU850B6LA,tv,367900,lg-65nu850b6la,Սմարթ հեռուստացույց LG 65NU850B6LA
eldorado,LG,65QNED70A6A,tv,339900,lg-65qned70a6a,Սմարթ հեռուստացույց LG 65QNED70A6A
eldorado,LG,65QNED80A6A,tv,611900,lg-65qned80a6a,Սմարթ հեռուստացույց LG 65QNED80A6A
eldorado,LG,65QNED80B6B,tv,494900,lg-65qned80b6b,Սմարթ հեռուստացույց LG 65QNED80B6B
eldorado,LG,65QNED86T6A,tv,549900,lg-65qned86t6a,Հեռուստացույց LG 65QNED86T6A Smart
eldorado,LG,65UA75009LA,tv,329900,lg-65ua75009la,Սմարթ հեռուստացույց LG 65UA75009LA
eldorado,LG,75NU850B6LA,tv,469900,lg-75nu850b6la,Սմարթ հեռուստացույց LG 75NU850B6LA
eldorado,LG,75QNED70B6A,tv,569900,lg-75qned70b6a,Սմարթ հեռուստացույց LG 75QNED70B6A
eldorado,LG,75QNED85B6B,tv,1097900,lg-75qned85b6b,Սմարթ հեռուստացույց LG 75QNED85B6B
eldorado,LG,75QNED86A6A,tv,1079900,lg-75qned86a6a,Սմարթ հեռուստացույց LG 75QNED86A6A
eldorado,LG,85QNED70B6A,tv,773900,lg-85qned70b6a,Սմարթ հեռուստացույց LG 85QNED70B6A
eldorado,LG,OLED55C6RLA,tv,1016900,lg-oled55c6rla,Սմարթ հեռուստացույց LG OLED55C6RLA
eldorado,LG,OLED65B5RLA,tv,899900,lg-oled65b5rla,Սմարթ հեռուստացույց LG OLED65B5RLA
eldorado,LG,OLED65C5RLA,tv,1249900,lg-oled65c5rla,Սմարթ հեռուստացույց LG OLED65C5RLA
eldorado,LG,OLED65G5RLA,tv,1399900,lg-oled65g5rla,Սմարթ հեռուստացույց LG OLED65G5RLA
eldorado,LG,OLED83C4RLA,tv,2549900,lg-oled83c4rla,Հեռուստացույց LG OLED83C4RLA Smart
eldorado,Microsoft,Surface 4,laptop,519900,microsoft-surface-4,Նոթբուք Microsoft Surface 4 16ԳԲ/1ՏԲ
eldorado,Microsoft,Surface Go 2,laptop,429900,microsoft-surface-go-2,Նոթբուք Microsoft Surface Go 2 8ԳԲ/256ԳԲ
eldorado,Microsoft,Xbox,headphones,65900,microsoft-xbox,MICROSOFT Xbox Ականջակալ
eldorado,Nothing,Ear Open B182,headphones,89900,nothing-ear-open-b182,Nothing Ear Open B182 սպիտակ անլար ականջակալ
eldorado,Philips,"24"" USB-C 24E1N3300A/00",monitor,82900,philips-24-usb-c-24e1n3300a-00,"Մոնիտոր Philips 24"" USB-C 24E1N3300A/00"
eldorado,Samsung,27D300GAU,monitor,59900,samsung-27d300gau,Մոնիտոր Samsung 27D300GAU Black
eldorado,Samsung,"EO-IC100, USB Type-C",headphones,9900,samsung-eo-ic100-usb-type-c,Ականջակալ Samsung EO-IC100  USB Type-C White
eldorado,Samsung,LS24D304GAU,monitor,46900,samsung-ls24d304gau,Մոնիտոր Samsung LS24D304GAU
eldorado,Samsung,LS27BG400EUXEN,monitor,99900,samsung-ls27bg400euxen,Մոնիտոր Samsung LS27BG400EUXEN
eldorado,Samsung,LS27BG650EU,monitor,209900,samsung-ls27bg650eu,Մոնիտոր Samsung LS27BG650EU
eldorado,Samsung,LS27DG300EU,monitor,85900,samsung-ls27dg300eu,Մոնիտոր Samsung LS27DG300EU
eldorado,Samsung,LS32CG554EU,monitor,129900,samsung-ls32cg554eu,Մոնիտոր Samsung LS32CG554EU
