id,brand,name,category,offers,why,best_source_px,source_file
apple-ipad-air-13-wi-fi-plus-cellular-2024,Apple,iPad Air 13 Wi-Fi + Cellular 2024,tablet,8,source only 550px,550,apple-ipad-air-13-wi-fi-plus-cellular-2024__main.png
honor-pad-x9a,Honor,Pad X9a,tablet,6,no source saved,0,
xiaomi-redmi-note-17-4g,Xiaomi,Redmi Note 17 4G,phone,6,source only 550px,550,xiaomi-redmi-note-17-4g__main.jpg
apple-ipad-air-11-wi-fi-plus-cellular-2024,Apple,iPad Air 11 Wi-Fi + Cellular 2024,tablet,5,source only 550px,550,apple-ipad-air-11-wi-fi-plus-cellular-2024__main.png
apple-iphone-16e,Apple,iPhone 16e,phone,5,no source saved,0,
garmin-fenix-8-47-mm-amoled,Garmin,"Fenix 8, AMOLED",watch,4,no source saved,0,
honor-choice-infowear-2i-kch-wb01,Honor,Choice Watch 2i,watch,4,no source saved,0,
sony-playstation-dualsense-ps5,Sony,Playstation DualSense PS5,console,4,no source saved,0,
xiaomi-redmi-note-15-pro-plus-5g,Xiaomi,Redmi Note 15 Pro Plus 5G,phone,4,source only 550px,550,xiaomi-redmi-note-15-pro-plus-5g__main.png
garmin-cirqa-smart-band-mauve-s-m,Garmin,CIRQA Smart Band,watch,3,no source saved,0,
garmin-venu-4-45-mm,Garmin,Venu 4,watch,3,no source saved,0,
honor-choice-ros-me01,Honor,CHOICE ROS-ME01,headphones,3,source only 350px,350,honor-choice-ros-me01__main.webp
realme-c71,Realme,C71,phone,3,no source saved,0,
realme-note-60x,Realme,Note 60x,phone,3,no source saved,0,
poco-c71,Xiaomi,POCO C71,phone,3,no source saved,0,
asus-vivobook-s-15-6-i9-13900h-16-1-camo-w11-k5504va-pb99-sl,ASUS,Vivobook S 15 (i9),laptop,2,no source saved,0,
garmin-fenix-8-47-mm-amoled-sapphire-carbon,Garmin,"Fenix 8, AMOLED Sapphire Carbon",watch,2,no source saved,0,
garmin-fenix-8-47-mm-amoled-sapphire-spark,Garmin,"Fenix 8, AMOLED Sapphire Spark",watch,2,no source saved,0,
garmin-fenix-9-pro-47mm-amoled-carbon-dlc,Garmin,"Fenix 9 Pro, AMOLED, Carbon DLC",watch,2,no source saved,0,
garmin-fenix-9-51mm-carbon-dlc-band,Garmin,"Fenix 9, Carbon DLC, Band",watch,2,no source saved,0,
garmin-instinct-3-50mm-amoled,Garmin,"Instinct 3, AMOLED",watch,2,no source saved,0,
garmin-vivoactive-5,Garmin,Vivoactive 5,watch,2,no source saved,0,
garmin-epix-pro-sapphire-edition-51-mm,Garmin,epix Pro – Sapphire Edition,watch,2,no source saved,0,
garmin-epix-pro-standard-edition-47mm,Garmin,epix Pro – Standard Edition,watch,2,no source saved,0,
garmin-vivoactive-6,Garmin,vivoactive 6 Lunar Gold,watch,2,no source saved,0,
hp-omnibook-5-16-ultra-5-225u-16-1-bm0q2ea,HP,OmniBook 5 16,laptop,2,no source saved,0,
hisense-55e7q-pro,Hisense,55E7Q PRO,tv,2,no source saved,0,
honor-magicbook-pro-16-ultra-5-125h-24-1-w11h-5301ajjg,Honor,MagicBook Pro 16,laptop,2,no source saved,0,
jbl-partybox-club-120,JBL,PartyBox Club 120,speaker,2,source only 535px,535,jbl-partybox-club-120__main.webp
samsung-galaxy-a07s,Samsung,Galaxy A07s,phone,2,source only 550px,550,samsung-galaxy-a07s__main.png
samsung-galaxy-7-ultra-47mm-sm-l705f,Samsung,Galaxy Watch 7 Ultra,watch,2,no source saved,0,
samsung-galaxy-watch4-40-mm,Samsung,Galaxy Watch4,watch,2,no source saved,0,
xiaomi-redmi-10c,Xiaomi,Redmi 10C,phone,2,source only 550px,550,xiaomi-redmi-10c__main.png
aoc-49-lcd-ag493ucx,AOC,"49"" LCD AG493UCX",monitor,1,no source saved,0,
asus-b3405cca-ly0189,ASUS,B3405CCA-LY0189,laptop,1,no source saved,0,
asus-b3405cca-ly0191,ASUS,B3405CCA-LY0191,laptop,1,no source saved,0,
asus-b3605cca-mb0080,ASUS,B3605CCA-MB0080,laptop,1,no source saved,0,
asus-expert-book-b5-b5405cva,ASUS,Expert Book B5 B5405CVA,laptop,1,no source saved,0,
asus-expertbook-b5-b5405cca,ASUS,ExpertBook B5 B5405CCA,laptop,1,no source saved,0,
asus-expertbook-p1-p1503cva-misty,ASUS,ExpertBook P1 P1503CVA Misty,laptop,1,no source saved,0,
asus-fa506n,ASUS,FA506N,laptop,1,no source saved,0,
asus-fa507,ASUS,FA507,laptop,1,no source saved,0,
asus-fa707,ASUS,FA707,laptop,1,no source saved,0,
asus-fx607v,ASUS,FX607V,laptop,1,no source saved,0,
asus-k3605v,ASUS,K3605V,laptop,1,no source saved,0,
asus-l410ma-tb02-n4020-90nb0q15-m32880-star,ASUS,"L410MA-TB02 N4020, 90NB0Q15-M32880 Star",laptop,1,no source saved,0,
asus-l510mads04,ASUS,L510MADS04,laptop,1,no source saved,0,
asus-tuf-gaming-a16-fa608p,ASUS,TUF Gaming A16 FA608P,laptop,1,no source saved,0,
asus-vivobook-15-m1502n,ASUS,Vivobook 15 M1502N,laptop,1,no source saved,0,
asus-vivobook-15-core-3-100u-x1504vap-c38128-w11,ASUS,Vivobook 15 X1504VAP,laptop,1,no source saved,0,
asus-vivobook-16-amd-ryzen-7-7730u-90nb10r1-m00ch0-w11,ASUS,Vivobook 16 (Ryzen 7),laptop,1,no source saved,0,
asus-vivobook-16-i7-1355u-f1605va-ws74-w11,ASUS,"Vivobook 16, i7-1355U, F1605VA-WS74, W11",laptop,1,no source saved,0,
asus-vivobook-17-x1704vap,ASUS,Vivobook 17 X1704VAP,laptop,1,no source saved,0,
asus-vivobook-s14-s3407v,ASUS,Vivobook S14 S3407V,laptop,1,no source saved,0,
