filled 313, confirmed 258, conflicts 38, skipped 0
conflict hisense-43a7s resolution: ours 3840 x 2160, kitele 1920 x 1080 (exact)
conflict lg-43nano766qa type: ours NanoCell LED, kitele LED (exact)
conflict lg-43nano80a6b type: ours NanoCell LED, kitele LED (exact)
conflict lg-43qned70b6c type: ours QNED Mini-LED, kitele QNED (prefix)
conflict lg-50qned70b6c type: ours QNED Mini-LED, kitele QNED (prefix)
conflict lg-50qned80a6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-55nano766qa type: ours NanoCell LED, kitele LED (exact)
conflict lg-55nu850b6la type: ours LED, kitele NanoCell LED (series)
conflict lg-55qned70a6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-55qned80a6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-55qned80b6b type: ours QNED Mini-LED, kitele QNED (prefix)
conflict lg-55qned80t6a type: ours QNED Mini-LED, kitele LED (prefix)
conflict lg-55qned816ra type: ours QNED Mini-LED, kitele LED (series)
conflict lg-55qned82a6b type: ours QNED Mini-LED, kitele LED (series)
conflict lg-55qned86a6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-55qned86t6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-65nano766qa type: ours NanoCell LED, kitele LED (exact)
conflict lg-65nu850b6la type: ours LED, kitele NanoCell LED (series)
conflict lg-65qned70a6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-65qned80a6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-65qned80b6b type: ours QNED Mini-LED, kitele LED (series)
conflict lg-65qned86t6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-75nu850b6la type: ours LED, kitele NanoCell LED (series)
conflict lg-75qned70b6a type: ours QNED Mini-LED, kitele QNED (prefix)
conflict lg-75qned86a6a type: ours QNED Mini-LED, kitele LED (exact)
conflict lg-85qned70b6a type: ours QNED Mini-LED, kitele NanoCell LED (prefix)
conflict samsung-qe43q60ba type: ours QLED, kitele LED (prefix)
conflict samsung-qe50qn70hauxpy type: ours Neo QLED, kitele Mini-LED (series)
conflict samsung-qe55q60abuxru type: ours QLED, kitele LED (prefix)
conflict samsung-qe55qn80fauxru type: ours Neo QLED, kitele Mini-LED (prefix)
conflict samsung-qe65qn900duxru type: ours Neo QLED, kitele Mini-LED (prefix)
conflict samsung-qe65qn90fauxru type: ours Neo QLED, kitele Mini-LED (prefix)
conflict samsung-qe65qn990fuxru type: ours Neo QLED, kitele LED (prefix)
conflict samsung-qe75q60dauxru type: ours QLED, kitele LED (prefix)
conflict samsung-qe75q70dauxru type: ours QLED, kitele LED (prefix)
conflict samsung-qe75qn70fauxru type: ours Neo QLED, kitele LED (series)
conflict samsung-qe75qn80fauxru type: ours Neo QLED, kitele LED (series)
conflict tcl-98c6k type: ours QLED, kitele LED (exact)
