shop,price,title,capacity,color,listings_line,why
"istyle","579000","MacBook Air M5 13/16GB RAM","16","","978","no confident match in their sitemap - needs an eye"
"istyle","649000","MacBook Air M5 15/16GB RAM","16","","979","no confident match in their sitemap - needs an eye"
"istyle","859000","MacBook Air M5 15/24GB RAM","24","","980","no confident match in their sitemap - needs an eye"
"istyle","779000","MacBook Air M5 13.6/24 RAM","","","981","no confident match in their sitemap - needs an eye"
"istyle","879000","iMac 24-inch M3 8RAM /2023/","","","982","no confident match in their sitemap - needs an eye"
"istyle","289000","Mac mini M2 8/256 GB","256","","984","no confident match in their sitemap - needs an eye"
"istyle","223000","iPad Mini 7 WiFi","","","985","no confident match in their sitemap - needs an eye"
"istyle","215000","iPad 10 A16 Wi-Fi /2025/","","","986","no confident match in their sitemap - needs an eye"
"istyle","184000","JBL PartyBox Club 120","","","987","no confident match in their sitemap - needs an eye"
"istyle","175000","Dyson AirStarit (HT01) Amber Silk","","","991","no confident match in their sitemap - needs an eye"
"istyle","157000","Dyson AirStarit (HT01) Prussian Blue","","","992","no confident match in their sitemap - needs an eye"
"istyle","162000","Dyson AirStarit (HT01) Kanzan Pink","","","993","no confident match in their sitemap - needs an eye"
"istyle","229000","Dyson Supersonic r™ DH17","","","994","no confident match in their sitemap - needs an eye"
"istyle","175000","Dyson AirStarit (HT01) Orange 2026","","","997","no confident match in their sitemap - needs an eye"
"ibolit","111000","Harman Kardon Onyx Studio 8","","","999","their site is down (database error) - retry later"
"ibolit","98900","Harman Kardon Onyx Studio 8 Blue","","","1000","their site is down (database error) - retry later"
"ibolit","98900","Harman Kardon Onyx Studio 8 Black","","","1001","their site is down (database error) - retry later"
"pixel","159000","Harman Kardon Onyx Studio 9 (Մոխրագույն)","","","1003","crawlable - queued"
"pixel","159000","Harman Kardon Onyx Studio 9 (Սև)","","","1004","crawlable - queued"
"ibolit","117000","Marshall Uxbridge","","","1010","their site is down (database error) - retry later"
"ibolit","54000","Marshall Willen Cream","","","1012","their site is down (database error) - retry later"
"ibolit","54000","Marshall Willen Black","","","1013","their site is down (database error) - retry later"
"pixel","79000","Xiaomi Redmi 17","","","1014","crawlable - queued"
"pixel","119000","Xiaomi Redmi Note 17 5G","","","1018","crawlable - queued"
"zigzag","97900","Xiaomi Redmi Note 17 5G 6GB/128GB Black","6","","1020","WAF blocks crawlers - needs a browser harvest"
"pixel","189000","Whoop Life (MG)","","","1021","crawlable - queued"
"pixel","95000","Honor X7E","","","1022","crawlable - queued"
"zigzag","89900","Honor X7e 6GB/256GB Light Blue","6","","1026","WAF blocks crawlers - needs a browser harvest"
"zigzag","89900","Honor X7e 6GB/256GB Midnight Black","6","","1027","WAF blocks crawlers - needs a browser harvest"
"zigzag","89900","Honor X7e 6GB/256GB Sunrise Orange","6","","1028","WAF blocks crawlers - needs a browser harvest"
"pixel","58000","Redmi 15 4G","","","1029","crawlable - queued"
"pixel","209000","Poco X8 Pro Max 5G","","","1030","crawlable - queued"
"pixel","169000","Poco X8 Pro 5G","","","1031","crawlable - queued"
"pixel","109000","Poco M8 5G","","","1032","crawlable - queued"
"pixel","53000","Poco C81 Pro","","","1033","crawlable - queued"
"pixel","173000","Redmi Note 15 Pro Plus 5G","","","1034","crawlable - queued"
"pixel","145000","Redmi Note 14 Pro Plus 5G","","","1035","crawlable - queued"
"pixel","285000","Google Pixel 9","","","1036","crawlable - queued"
"pixel","375000","Google Pixel 9 Pro","","","1037","crawlable - queued"
"pixel","389000","Google Pixel 9 Pro XL","","","1038","crawlable - queued"
"pixel","462900","Samsung Galaxy Tab S9 Ultra","","","1039","crawlable - queued"
"pixel","69900","Xiaomi Redmi Pad SE 8.7 4G","","","1040","crawlable - queued"
"pixel","79900","Samsung Galaxy Tab A9+ X216","","","1041","crawlable - queued"
"ibolit","109000","Samsung Galaxy Tab A9 128GB X216 Silver","128","","1042","their site is down (database error) - retry later"
"ibolit","94000","Samsung Galaxy Tab A9 64GB X216 Silver","64","","1043","their site is down (database error) - retry later"
"ibolit","94000","Samsung Galaxy Tab A9 64GB X216 Graphite","64","","1044","their site is down (database error) - retry later"
"pixel","66900","Samsung Galaxy Tab A9+ X210","","","1045","crawlable - queued"
"ibolit","76000","Samsung Galaxy Tab A9+ 64GB X210 Navy Blue","64","","1046","their site is down (database error) - retry later"
"ibolit","75000","Samsung Galaxy Tab A9 64GB X210 Silver","64","","1047","their site is down (database error) - retry later"
"ibolit","75000","Samsung Galaxy Tab A9 64GB X210 Graphite","64","","1048","their site is down (database error) - retry later"
