Shop,Product,Category,Capacities we hold,Colours we hold,Price we hold,Price max,What the shop called it,CHECKED price,CHECKED per-capacity prices,CHECKED colours,Notes
eldorado,"AOC 49"" LCD AG493UCX",monitor,,,"469,900",,"Խաղային մոնիտոր AOC 49"" LCD AG493UCX",,,,
eldorado,ASUS Expert Center P400 AiO P4 40VA,desktop,,,"329,900",,Համակարգիչ բոլորը մեկում ASUS Expert Center P400 AiO P4 40VA (P440VAK-BPC 6670),,,,
eldorado,ASUS Expert Center P400 AiO P4 70VA,desktop,,,"455,900","459,900",Համակարգիչ բոլորը մեկում ASUS Expert Center P400 AiO P4 70VA (P470VAK-BPE2 820),,,,
eldorado,ASUS VA249HG,monitor,,,"55,900",,Մոնիտոր ASUS VA249HG (90LM02W0-B01171),,,,
eldorado,ASUS VA27DQSB-W,monitor,,,"119,900",,Մոնիտոր ASUS VA27DQSB-W (90LM06H4-B02370),,,,
eldorado,ASUS VG249Q3A 90LM09B0-B01170,monitor,,,"99,000",,Մոնիտոր Asus VG249Q3A 90LM09B0-B01170,,,,
eldorado,ASUS VG32AQA1A 90LM07L0-B02370,monitor,,,"189,900",,ASUS VG32AQA1A 90LM07L0-B02370 Մոնիտոր,,,,
eldorado,ASUS VU279HFI-W,monitor,,,"99,900",,Մոնիտոր ASUS VU279HFI-W (90LM09IT-B01K70),,,,
eldorado,ASUS VZ24EHF-W,monitor,,,"59,900",,Մոնիտոր ASUS VZ24EHF-W (90LM07C2-B01470),,,,
eldorado,ASUS VZ27EHF 90LM07B0-B01470,monitor,,,"69,900",,ASUS VZ27EHF 90LM07B0-B01470 Մոնիտոր,,,,
eldorado,ASUS VZ27EHF-W 90LM07B0-B02470,monitor,,,"69,900",,Մոնիտոր Asus VZ27EHF-W 90LM07B0-B02470,,,,
eldorado,Beats Solo Buds True Wireless,headphones,,,"35,900",,Ականջակալ Beats Solo Buds True Wireless (A3151 A3150 A3152),,,,
eldorado,Beats Solo4 OnEar,headphones,,,"89,900",,Անլար ականջակալ Beats Solo4 OnEar (A3140),,,,
eldorado,Beats Studio Pro Wireless,headphones,,,"139,900",,Ականջակալ Beats Studio Pro Wireless (A2924),,,,
eldorado,Beats Studio Pro Wireless Model,headphones,,,"139,900",,Ականջակալ Beats Studio Pro Wireless Model (A2924),,,,
eldorado,Bose SoundSport Free,headphones,,,"99,900",,Անլար Ականջակալ Bose SoundSport Free Black,,,,
eldorado,Bose SoundSport Free Bright,headphones,,,"99,900",,Անլար Ականջակալ Bose SoundSport Free Bright Orange,,,,
eldorado,Dell 27'' E2723H,monitor,,,"98,900",,Մոնիտոր Dell 27'' E2723H,,,,
eldorado,Dyson Zone Absolute+,headphones,,,"349,900",,Անլար ականջակալ օդի ֆիլտրով Dyson Zone Absolute+ (Prussian Blue/Bright Copper),,,,
eldorado,Honor Choice Clip MAK-ME01,headphones,,,"25,900",,Անլար ականջակալ Honor Choice Earbuds Clip MAK-ME01 (5504ADMX) black,,,,
eldorado,HP PC Maokong24I1C23,desktop,,,"309,900",,Համակարգիչ բոլորը մեկում HP All-in-One Desktop PC Maokong24I1C23,,,,
eldorado,"Lenovo IdeaCentre AIO 23. 8"" 24IRH 9",desktop,,,"429,900","475,900","Համակարգիչ բոլորը մեկում Lenovo IdeaCentre AIO 23. 8"" 24IRH 9 (F0HN00SSRU)",,,,
eldorado,"Lenovo IdeaCentre AIO 27IRH 9 27""",desktop,,,"459,900",,"Համակարգիչ բոլորը մեկում Lenovo IdeaCentre AIO 27IRH 9 (F0HM00VKRU) 27""",,,,
eldorado,LG 24G411A-B,monitor,,,"69,900",,Մոնիտոր LG 24G411A-B,,,,
eldorado,LG 24GS50F-B,monitor,,,"89,900",,Մոնիտոր LG 24GS50F-B,,,,
eldorado,LG 27GS50F-B,monitor,,,"91,900",,Մոնիտոր LG 27GS50F-B,,,,
eldorado,LG 27U421A-B,monitor,,,"79,900",,Մոնիտոր LG 27U421A-B,,,,
eldorado,LG 27U511SA-W,monitor,,,"129,900",,Մոնիտոր LG 27U511SA-W,,,,
eldorado,LG 29U531A-W,monitor,,,"119,900",,Մոնիտոր LG 29U531A-W,,,,
eldorado,LG 32UR500K-B,monitor,,,"168,900",,Մոնիտոր LG 32UR500K-B,,,,
eldorado,LG 34GP63A-B,monitor,,,"239,900",,Խաղային մոնիտոր LG 34GP63A-B,,,,
eldorado,LG 43NANO80A6B,tv,,,"219,900",,Սմարթ հեռուստացույց LG 43NANO80A6B,,,,
eldorado,LG 43NU850B6LA,tv,,,"178,900",,Սմարթ հեռուստացույց LG 43NU850B6LA,,,,
eldorado,LG 43QNED70B6C,tv,,,"215,900",,Սմարթ հեռուստացույց LG 43QNED70B6C,,,,
eldorado,LG 43UA75009LA,tv,,,"177,900",,Սմարթ հեռուստացույց LG (43UA75009LA),,,,
eldorado,LG 50NU850B6LA,tv,,,"247,900",,Սմարթ հեռուստացույց LG 50NU850B6LA,,,,
eldorado,LG 50QNED70B6C,tv,,,"278,900",,Սմարթ հեռուստացույց LG 50QNED70B6C,,,,
eldorado,LG 50QNED80A6A,tv,,,"289,900",,Սմարթ հեռուստացույց LG 50QNED80A6A,,,,
eldorado,LG 55NU850B6LA,tv,,,"287,900",,Սմարթ հեռուստացույց LG 55NU850B6LA,,,,
eldorado,LG 55QNED70A6A,tv,,,"298,900",,Սմարթ հեռուստացույց LG 55QNED70A6A,,,,
eldorado,LG 55QNED80A6A,tv,,,"359,900",,Սմարթ հեռուստացույց LG 55QNED80A6A,,,,
eldorado,LG 55QNED80B6B,tv,,,"372,900",,Սմարթ հեռուստացույց LG 55QNED80B6B,,,,
eldorado,LG 55QNED80T6A,tv,,,"449,100",,Հեռուստացույց LG 55QNED80T6A Smart,,,,
eldorado,LG 55QNED82A6B,tv,,,"399,900",,Սմարթ հեռուստացույց LG 55QNED82A6B,,,,
eldorado,LG 55QNED86A6A,tv,,,"566,900",,Սմարթ հեռուստացույց LG 55QNED86A6A,,,,
eldorado,LG 55QNED86T6A,tv,,,"429,900",,Հեռուստացույց LG 55QNED86T6A Smart,,,,
eldorado,LG 65NU850B6LA,tv,,,"367,900",,Սմարթ հեռուստացույց LG 65NU850B6LA,,,,
eldorado,LG 65QNED70A6A,tv,,,"339,900",,Սմարթ հեռուստացույց LG 65QNED70A6A,,,,
eldorado,LG 65QNED80A6A,tv,,,"611,900",,Սմարթ հեռուստացույց LG 65QNED80A6A,,,,
eldorado,LG 65QNED80B6B,tv,,,"494,900",,Սմարթ հեռուստացույց LG 65QNED80B6B,,,,
eldorado,LG 65QNED86T6A,tv,,,"549,900",,Հեռուստացույց LG 65QNED86T6A Smart,,,,
eldorado,LG 65UA75009LA,tv,,,"329,900",,Սմարթ հեռուստացույց LG 65UA75009LA,,,,
eldorado,LG 75NU850B6LA,tv,,,"469,900",,Սմարթ հեռուստացույց LG 75NU850B6LA,,,,
eldorado,LG 75QNED70B6A,tv,,,"569,900",,Սմարթ հեռուստացույց LG 75QNED70B6A,,,,
eldorado,LG 75QNED85B6B,tv,,,"1,097,900",,Սմարթ հեռուստացույց LG 75QNED85B6B,,,,
eldorado,LG 75QNED86A6A,tv,,,"1,079,900",,Սմարթ հեռուստացույց LG 75QNED86A6A,,,,
eldorado,LG 85QNED70B6A,tv,,,"773,900",,Սմարթ հեռուստացույց LG 85QNED70B6A,,,,
eldorado,LG OLED55C6RLA,tv,,,"1,016,900",,Սմարթ հեռուստացույց LG OLED55C6RLA,,,,
eldorado,LG OLED65B5RLA,tv,,,"899,900",,Սմարթ հեռուստացույց LG OLED65B5RLA,,,,
eldorado,LG OLED65C5RLA,tv,,,"1,249,900",,Սմարթ հեռուստացույց LG OLED65C5RLA,,,,
eldorado,LG OLED65G5RLA,tv,,,"1,399,900",,Սմարթ հեռուստացույց LG OLED65G5RLA,,,,
eldorado,LG OLED83C4RLA,tv,,,"2,549,900",,Հեռուստացույց LG OLED83C4RLA Smart,,,,
eldorado,Nothing Ear Open B182,headphones,,,"89,900",,Nothing Ear Open B182 սպիտակ անլար ականջակալ,,,,
eldorado,"Philips 24"" USB-C 24E1N3300A/00",monitor,,,"82,900",,"Մոնիտոր Philips 24"" USB-C 24E1N3300A/00",,,,
eldorado,Samsung 27D300GAU,monitor,,,"59,900",,Մոնիտոր Samsung 27D300GAU Black,,,,
eldorado,"Samsung EO-IC100, USB Type-C",headphones,,,"9,900",,Ականջակալ Samsung EO-IC100  USB Type-C White,,,,
eldorado,Samsung LS24D304GAU,monitor,,,"46,900",,Մոնիտոր Samsung LS24D304GAU,,,,
eldorado,Samsung LS27BG400EUXEN,monitor,,,"99,900",,Մոնիտոր Samsung LS27BG400EUXEN,,,,
eldorado,Samsung LS27BG650EU,monitor,,,"209,900",,Մոնիտոր Samsung LS27BG650EU,,,,
eldorado,Samsung LS27DG300EU,monitor,,,"85,900",,Մոնիտոր Samsung LS27DG300EU,,,,
eldorado,Samsung LS32CG554EU,monitor,,,"129,900",,Մոնիտոր Samsung LS32CG554EU,,,,
eldorado,Samsung LS32D700EAU,monitor,,,"149,900",,Մոնիտոր Samsung LS32D700EAU,,,,
eldorado,Samsung LS32FM700UU,monitor,,,"199,900",,Մոնիտոր Samsung LS32FM700UU,,,,
eldorado,Samsung LS34C500GAU,monitor,,,"149,900",,Մոնիտոր Samsung LS34C500GAU,,,,
eldorado,Samsung Odyssey G4 LS25BG400EIXCI,monitor,,,"89,900",,Մոնիտոր Samsung Odyssey G4 LS25BG400EIXCI,,,,
eldorado,Samsung Odyssey G5 S32CG552EU,monitor,,,"149,900",,Մոնիտոր Samsung Odyssey G5 S32CG552EU,,,,
eldorado,Samsung QE43Q60BA,tv,,,"199,900",,"Սմարթ հեռուստացույց Samsung 43"" QE43Q60BA 4K UHD QLED",,,,
eldorado,Samsung QE43Q7FAAUXRU,tv,,,"223,900",,Սմարթ հեռուստացույց Samsung QE43Q7FAAUXRU,,,,
eldorado,Samsung QE50Q7FAAUXRU,tv,,,"298,900",,Սմարթ հեռուստացույց Samsung QE50Q7FAAUXRU,,,,
eldorado,Samsung QE55Q60ABUXRU,tv,,,"479,900",,հեռուստացույց Samsung 55'' QLED 4K Q60AB Smart (QE55Q60ABUXRU),,,,
eldorado,Samsung QE55Q7FAAUXRU,tv,,,"352,900",,Սմարթ հեռուստացույց Samsung QE55Q7FAAUXRU,,,,
eldorado,Samsung QE55Q7FAM,tv,,,"4,894,000",,Հայելի հեռուստացույցով Samsung QE55Q7FAM,,,,
eldorado,Samsung QE55S95CAUXRU,tv,,,"697,900",,"հեռուստացույց Samsung 55""QE55S95CAUXRU Smart",,,,
eldorado,Samsung QE65QN85DBUXRU,tv,,,"718,900",,հեռուստացույց Samsung QE65QN85DBUXRU Smart,,,,
