Store,Product Name,Model,Memory Size,Color,Link,Price,Stock Status,Image_Link,Need
redstore,Samsung Galaxy Buds 3,Galaxy Buds 3,,,https://redstore.am/en/product/samsung-galaxy-buds-3-white,"44,000 AMD",In Stock,,no photo at all
pixel,Xiaomi POCO X8 Pro Max,POCO X8 Pro Max,512 GB,,https://www.pixel.am/am/product/xiaomi-poco-x8-pro-max-5g,"269,900 AMD",In Stock,,no photo at all
redstore,Marshall Emberton III,Emberton III,,,https://redstore.am/en/product/marshall-emberton-iii-black,"79,000 AMD",In Stock,,no photo at all
pixel,Xiaomi 17T,17T,256 GB / 512 GB,,https://www.pixel.am/am/product/xiaomi-17t,"243,900 AMD",In Stock,,no photo at all
redstore,Xiaomi Redmi 17,Redmi 17,256 GB,,https://redstore.am/en/product/xiaomi-redmi-17-4gb128gb-black,"79,000 AMD",In Stock,,no photo at all
redstore,Xiaomi Redmi A7 Pro,Redmi A7 Pro,128 GB,,https://redstore.am/en/product/xiaomi-redmi-a7-pro-4gb64gb-mist-blue,"63,900 AMD",In Stock,,no photo at all
mobilecentre,Xiaomi Redmi Note 17 5G,Redmi Note 17 5G,128 GB,,https://mobilecentre.am/product/xiaomi-redmi-note-17-5g/34530/,"97,900 AMD",In Stock,,no photo at all
redstore,Harman Kardon Studio 8,Studio 8,,,https://redstore.am/en/product/harman-kardon-onyx-studio-8-blue,"97,000 AMD",In Stock,,no photo at all
redstore,JBL Flip 6,Flip 6,,,https://redstore.am/en/product/jbl-flip-6-squad,"53,900 AMD",In Stock,,no photo at all
ibolit,JBL Tune Buds,Tune Buds,,,https://ibolit.mobi/product/jbl-tune-520c-wired-headphonesblack/,"37,900 AMD",In Stock,,no photo at all
mobilecentre,Xiaomi POCO C81 Pro,POCO C81 Pro,256 GB,,https://mobilecentre.am/product/xiaomi-poco-c81-pro/34242/,"80,900 AMD",In Stock,,no photo at all
mobilecentre,Xiaomi POCO M7,POCO M7,128 GB / 256 GB,,https://mobilecentre.am/product/xiaomi-poco-m7/32829/,"71,900 AMD",In Stock,,no photo at all
allsell,Xiaomi POCO M8 5G,POCO M8 5G,256 GB,,https://allsell.am/en/xiaomi-poco-m8-5g,"123,900 AMD",In Stock,,no photo at all
pixel,Xiaomi POCO M8 Pro 5G,POCO M8 Pro 5G,256 GB / 512 GB,,https://www.pixel.am/am/product/xiaomi-poco-m8-pro-5g,"166,900 AMD",In Stock,,no photo at all
ibolit,Xiaomi POCO X8 Pro 5G,POCO X8 Pro 5G,512 GB,,https://ibolit.mobi/product/xiaomi-poco-x8-pro-8-256-black/,"209,900 AMD",In Stock,,no photo at all
mobilecentre,Xiaomi Redmi Note 17 Pro Max 5G,Redmi Note 17 Pro Max 5G,8 GB,,https://mobilecentre.am/product/xiaomi-redmi-note-17-pro-max/34553/,"174,900 AMD",In Stock,,no photo at all
redstore,Apple HomePod Mini,HomePod Mini,,,https://redstore.am/en/product/apple-homepod-mini-yellow,"59,900 AMD",In Stock,,no photo at all
redstore,Beats Studio Buds,Studio Buds,,,https://redstore.am/en/product/beats-studio-buds-blue,"67,900 AMD",In Stock,,no photo at all
redstore,DJI Mic Mini,Mic Mini,,,https://redstore.am/en/product/dji-mic-mini-transmitter,"31,900 AMD",In Stock,,no photo at all
redstore,DJI Osmo Action 6,Osmo Action 6,,,https://redstore.am/en/product/dji-osmo-action-6-standart-combo-black,"239,000 AMD",In Stock,,no photo at all
planet3d,DJI Osmo Pocket 4,Osmo Pocket 4,,,https://3dplanet.am/en/store/product/dji-osmo-pocket-4,"279,900 AMD",In Stock,,no photo at all
